,Case,Hydrofoil,Froude,Resistence,Sinkage,Trim,Power
1,1,1,0,0,0,0,0
2,2,1,0.103733049,2.549729,-0.689027557,1.353021538,0.95099121
3,3,1,0.124479659,3.6284605,-0.835413361,1.346323076,1.624000374
4,4,1,0.165972878,6.3743225,-1.864337035,1.361538155,3.80396484
5,5,1,0.186719488,8.2179727,-2.301539457,1.378858464,5.517212081
6,6,1,0.207466098,10.36562905,-1.506604384,1.369050002,7.732290069
7,7,1,0.414932196,66.9794195,-6.500114614,2.054650508,99.92723022
8,8,1,0.622398294,129.5458465,9.51317453,4.409404168,289.9060127
9,9,1,0.829864392,153.768272,25.02670647,4.28009421,458.8166822
10,10,1,1.03733049,184.757286,39.73903633,4.495846986,689.1028614
11,11,1,1.244796588,224.572285,49.76388727,4.369803261,1005.124556
12,12,1,1.452262686,250.9521735,57.49383967,4.472854936,1310.392734
13,13,1,1.659728784,262.81822,73.81567641,5.006381797,1568.403965
14,14,1,1.867194882,284.39285,81.2468263,4.922506593,1909.297737
15,15,1,2.026943777,292.23817,84.13050104,4.484303887,2129.825283
16,16,1,2.07466098,306.163613,88.17883466,4.784269882,2283.841967
17,17,1,2.400382754,375.398562,95.24828706,4.316122734,3239.950973
18,18,2,0,0,0,0,0
19,19,2,0.207466098,11.13054775,-1.63265762,1.394169231,8.302884795
20,20,2,0.414932196,69.627215,-4.759028184,2.108229557,103.8775014
21,21,2,0.622398294,136.8027675,11.64168267,4.33163098,306.1460165
22,22,2,0.829864392,154.4547375,28.79249061,4.085835034,460.864971
23,23,2,1.03733049,177.500365,44.0725428,4.021219574,662.0361885
24,24,2,1.244796588,198.5846625,59.81914259,3.967195955,888.8110155
25,25,2,1.452262686,212.804305,73.14595616,3.799344463,1111.196652
26,26,2,1.659728784,241.24359,77.76072025,3.708596249,1439.654386
27,27,2,1.867194882,271.644205,84.80281733,3.528259234,1823.708528
28,28,2,2.026943777,310.870805,86.59556367,3.44583901,2265.619513
29,29,2,2.07466098,319.69679,86.91225678,3.388498072,2384.793342
30,30,2,2.240633858,357.942725,89.6099476,3.426486906,2883.697961
31,31,2,2.400382754,376.57536,94.75739457,3.39088736,3250.107559
32,32,3,0,0,0,0,0
33,33,3,0.207466098,10.8853815,-0.764442589,1.360670051,8.12000187
34,34,3,0.414932196,70.60788,-4.99761858,2.063261512,105.3405648
35,35,3,0.622398294,138.273765,9.864251566,4.332823904,309.4379091
36,36,3,0.829864392,154.4547375,29.93759666,4.156959561,460.864971
37,37,3,1.03733049,173.577705,46.08754906,4.260050849,647.4055545
38,38,3,1.244796588,184.561153,64.16939875,4.465222163,826.0455956
39,39,3,1.452262686,196.133,78.70002923,4.303000032,1024.14438
40,40,3,1.659728784,223.59162,84.98648497,4.007779302,1334.313821
41,41,3,1.867194882,252.5212375,89.46696033,3.730090332,1695.324715
42,42,3,2.026943777,286.35418,90.17263048,3.481674975,2086.942895
43,43,3,2.07466098,296.16083,91.26987474,3.433893323,2209.225734
44,44,3,2.157647419,303.025485,94.91574113,3.362215438,2350.850271
45,45,3,2.240633858,333.4261,95.367119,3.386108777,2686.184402
46,46,4,0,0,0,0,0
47,47,4,0.207466098,11.2776475,-1.213208768,1.384600003,8.41261455
48,48,4,0.414932196,71.588545,-4.691321503,2.111817394,106.8036282
49,49,4,0.622398294,135.8221025,11.74516701,4.305386001,303.9514214
50,50,4,0.829864392,148.5707475,31.05995825,4.052221703,443.3082102
51,51,4,1.03733049,165.143986,49.91466994,4.028308688,615.9496914
52,52,4,1.244796588,174.55837,69.94236075,4.066262367,781.2758556
53,53,4,1.452262686,185.345685,83.84353299,3.783344998,967.8164391
54,54,4,1.659728784,210.646842,89.81849687,3.410001408,1257.064073
55,55,4,1.867194882,234.378935,95.93316284,3.230789806,1573.524687
56,56,4,2.026943777,270.66354,95.79093946,2.932023858,1972.58986
57,57,4,2.07466098,274.5862,98.24231733,2.95592851,2048.28876
58,58,4,2.157647419,291.257505,98.29093946,2.932023858,2259.555115
59,59,4,2.240633858,286.35418,104.6936952,2.979832603,2306.958369
