"","Cod","Water","Ash","Volatil","FixC","NetCal","Carbon","Hydrog","Nitro","Sulfur","Oxygen","TC","Ea"
"1","LL",4.19,19.45,33.19,43.17,23.91,59.22,4.08,1.02,4.38,7.66,435,170.1
"2","YY",1.06,20.46,31.53,46.94,23.91,64.22,4.63,1.38,0.74,7.51,451,206.6
"3","SF",6.6,9.56,31.49,52.35,26.22,66.34,3.61,0.95,0.38,12.56,431,273.5
"4","YM",9.47,14.19,30.02,46.32,23.8,58.44,2.92,0.83,0.44,13.71,403,160.8
"5","ZZ",1.84,18.1,29.43,50.63,27.73,65.88,4.06,1.22,0.88,8.02,466,228.4
"6","YX",2.21,18.26,29.39,50.14,27.1,63.13,3.74,1.18,0.71,10.77,466,226.4
"7","CG",1.58,37.95,29.16,31.3,19.02,45.34,3.76,1.11,3.74,6.51,448,208.7
"8","XW",2.98,22.23,28.8,45.99,23.78,59.78,3.62,1.16,0.71,9.52,453,222.5
"9","HL",3.85,23.68,26.98,45.49,24.49,58.93,3.42,1.12,0.85,8.15,480,216
"10","DO",2.5,14.42,26.06,57.02,28.75,68.55,3.92,0.81,0.69,9.11,480,223.5
"11","HN",1.62,25.47,23.32,49.59,25.7,61.26,3.32,1.09,0.52,6.72,468,231.2
"12","DU",2.21,38.24,22.48,37.07,18.56,46.94,3.23,0.94,0.48,7.96,464,224.1
"13","PX",1.75,36.01,13.98,48.26,20.2,51.02,3.04,0.94,1.78,5.46,492,239.2
"14","LA",1.45,18.19,13.77,66.59,27.75,71.28,3.55,1.24,0.34,3.95,519,335.7
"15","LQ",1,14.62,10.44,73.94,30.65,75.9,3.14,1.15,0.42,3.81,551,302
"16","JC",4.62,20.16,6.17,69.05,26.88,67.42,2,0.97,0.28,4.55,574,442.3
"17","XW6DU2YM2",4.23,23.58,27.64,44.55,22.38,57.54,3.49,1,0.6,9.56,424,190.8
"18","XW2YM6YY2",7.07,16.36,29.3,47.27,23.01,59.89,3.36,0.99,0.55,11.78,389,173.1
"19","DU6YX2ZZ2",2.22,30.28,25.26,42.24,21.4,54.09,3.32,1.02,0.69,8.38,444,213.1
"20","CG2YM6DO2",6.69,19.72,28.43,45.16,21.86,56.3,3.26,1,1.14,11.89,400,166.8
"21","DU2YY2YX6",2.41,22.35,27.81,47.37,24.43,62.21,3.74,1.14,0.63,7.52,438,225.3
"22","DU2YX6ZZ2",2.16,21.79,28.21,47.84,25.44,62.57,3.74,1.12,0.75,7.87,450,229.8
"23","XW4YY4HN2",2.85,20.78,28.22,48.15,24.55,62.65,3.7,1.14,0.63,7.52,438,224.3
"24","YM2YX6HL2",4.22,17.96,29.65,48.17,24.89,63.42,3.74,1.1,0.85,8.71,430,200.4
"25","XW4YM4PX2",5.63,20.55,26.85,46.97,22.3,58.44,3.56,0.99,0.84,9.99,414,178.6
"26","YM6YY2PX2",7.09,18.98,26.53,47.4,22.54,58.18,3.46,0.98,0.74,10.57,456,226.7
"27","DU4YX4PX2",2.46,29.42,24.04,44.08,22.25,55.32,3.36,1.04,0.88,7.52,461,231
"28","DU2YX6PX2",2.55,25.2,24.81,47.44,23.92,59.08,3.53,1.07,0.94,7.63,400,163.5
"29","YX4DO4HL2",2.52,22.04,23.36,52.08,24.67,62.06,3.52,0.99,1.14,7.73,463,214.1
"30","DU2YY6LA2",2.78,24.75,24.14,48.33,23.85,59.4,3.48,1.11,0.58,7.9,444,222.1
